months_as_customer,age,policy_number,policy_bind_year,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,total_claim_amount,vehicle_type,fraud_reported
318,20,920094,2021,IN,250/500,1000,1629,FEMALE,Masters,prof-specialty,Parked Car,Side Collision,Total Loss,27188,Sports Car,N
165,24,198818,2014,OH,500/1000,2000,989,FEMALE,PhD,craft-repair,Vehicle Theft,Front Collision,Total Loss,44582,Sedan,Y
225,68,252360,2009,IN,500/1000,500,1439,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Major Damage,10888,Truck,N
307,25,877915,2008,IL,250/500,1000,726,MALE,Associate,prof-specialty,Parked Car,Side Collision,Major Damage,25130,Truck,N
234,59,719369,2010,IL,100/300,1000,1007,FEMALE,College,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,41159,Sports Car,Y
172,69,661165,2008,IN,250/500,2000,1058,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,44197,Truck,N
152,32,473706,2011,IL,250/500,1000,401,MALE,Associate,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,20790,Sports Car,N
315,64,311957,2011,OH,100/300,2000,1433,MALE,Masters,sales,Parked Car,Rear Collision,Major Damage,26824,Sedan,N
374,46,172715,2022,OH,500/1000,500,833,FEMALE,Masters,craft-repair,Parked Car,Side Collision,Major Damage,35405,Sports Car,Y
160,50,241398,2007,OH,250/500,2000,524,FEMALE,College,prof-specialty,Parked Car,Side Collision,Minor Damage,26474,Sedan,N
96,69,734379,2005,IL,250/500,1000,1504,MALE,PhD,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,19333,Sports Car,N
233,47,619052,2008,OH,500/1000,500,884,FEMALE,High School,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,44864,Truck,Y
180,56,232632,2010,IL,500/1000,2000,1051,MALE,PhD,craft-repair,Vehicle Theft,Front Collision,Total Loss,38355,Sedan,Y
113,44,965580,2013,OH,100/300,500,1573,FEMALE,Associate,craft-repair,Parked Car,Rear Collision,Total Loss,35879,Truck,Y
318,53,183186,2018,IN,500/1000,500,1199,MALE,PhD,craft-repair,Vehicle Theft,Side Collision,Minor Damage,10367,Sedan,N
52,46,787250,2016,IL,500/1000,1000,1272,FEMALE,Associate,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,2722,Sports Car,Y
268,55,251094,2008,IL,500/1000,500,1763,MALE,Associate,prof-specialty,Vehicle Theft,Front Collision,Minor Damage,33145,Sports Car,N
295,74,694604,2016,OH,100/300,1000,528,MALE,High School,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,39634,Sports Car,N
386,50,128380,2014,IL,500/1000,500,837,MALE,College,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,12139,SUV,N
387,54,734486,2011,IL,500/1000,2000,1150,MALE,High School,exec-managerial,Vehicle Theft,Rear Collision,Minor Damage,4128,SUV,Y
113,44,364500,2007,IN,100/300,500,900,MALE,PhD,prof-specialty,Parked Car,Front Collision,Major Damage,43886,Sedan,Y
101,72,170326,2018,IN,500/1000,2000,1481,FEMALE,Associate,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,22617,SUV,N
113,50,978879,2014,OH,500/1000,2000,1621,FEMALE,Masters,craft-repair,Parked Car,Rear Collision,Minor Damage,30080,Sports Car,N
81,21,739282,2020,IN,100/300,500,610,MALE,Masters,tech-support,Single Vehicle Collision,Front Collision,Major Damage,37285,SUV,Y
187,39,320971,2020,OH,250/500,2000,1301,FEMALE,Associate,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,19533,SUV,N
113,19,906481,2014,OH,100/300,500,444,FEMALE,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Minor Damage,34624,Truck,N
2,27,568933,2017,OH,500/1000,500,1520,FEMALE,College,tech-support,Vehicle Theft,Front Collision,Minor Damage,48996,Sedan,N
130,22,991793,2010,IL,500/1000,2000,1702,FEMALE,High School,craft-repair,Parked Car,Front Collision,Major Damage,48947,Sedan,Y
220,27,902514,2016,IN,500/1000,2000,934,FEMALE,Associate,prof-specialty,Vehicle Theft,Rear Collision,Total Loss,29956,Sedan,Y
54,50,887093,2013,OH,100/300,1000,1833,FEMALE,Associate,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,44443,SUV,N
343,71,268484,2017,IN,500/1000,2000,860,MALE,College,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,35077,Sports Car,Y
224,55,889352,2008,OH,500/1000,1000,790,FEMALE,PhD,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,5952,Truck,N
225,30,584410,2015,IN,100/300,2000,1467,FEMALE,PhD,prof-specialty,Vehicle Theft,Rear Collision,Minor Damage,48639,Sedan,Y
385,48,869666,2022,IN,250/500,500,426,FEMALE,College,tech-support,Parked Car,Rear Collision,Total Loss,44460,SUV,Y
126,64,441705,2015,OH,250/500,2000,1193,MALE,PhD,prof-specialty,Parked Car,Side Collision,Major Damage,24796,Sports Car,N
130,53,895378,2008,IL,500/1000,500,1520,FEMALE,Masters,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,33746,Truck,Y
53,62,325314,2022,IN,100/300,500,1374,FEMALE,PhD,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,23249,Truck,N
172,41,538716,2005,IL,500/1000,500,947,FEMALE,PhD,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,2015,Sedan,N
218,69,859900,2011,IL,100/300,1000,1020,MALE,PhD,sales,Vehicle Theft,Front Collision,Minor Damage,27957,Sedan,N
160,73,902741,2010,OH,100/300,2000,966,FEMALE,Masters,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,18005,Sports Car,N
198,32,679518,2019,OH,250/500,500,1103,MALE,PhD,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,23292,SUV,N
247,46,998254,2022,OH,250/500,500,1642,FEMALE,Masters,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,33876,Sports Car,Y
324,25,591872,2015,IN,100/300,1000,584,MALE,College,prof-specialty,Parked Car,Rear Collision,Total Loss,49046,Sedan,Y
203,22,616998,2019,OH,500/1000,2000,1492,MALE,High School,sales,Single Vehicle Collision,Side Collision,Major Damage,16817,Sports Car,N
184,46,619984,2020,OH,250/500,2000,1553,MALE,College,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,27470,SUV,N
123,64,565757,2011,IN,500/1000,1000,1990,FEMALE,High School,craft-repair,Multi-vehicle Collision,Front Collision,Total Loss,11759,Truck,Y
255,21,474484,2014,IN,250/500,1000,1247,MALE,College,sales,Vehicle Theft,Rear Collision,Major Damage,8412,Truck,N
294,29,608062,2016,OH,250/500,2000,998,MALE,High School,prof-specialty,Parked Car,Rear Collision,Minor Damage,22504,Truck,Y
280,62,683609,2018,OH,500/1000,1000,1205,MALE,High School,sales,Vehicle Theft,Side Collision,Total Loss,44964,Truck,Y
325,19,232028,2009,OH,250/500,2000,1757,MALE,Associate,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,10507,Sedan,N
372,44,331447,2022,OH,250/500,2000,1577,FEMALE,High School,tech-support,Vehicle Theft,Side Collision,Total Loss,23050,Sedan,N
98,48,960563,2009,IL,500/1000,500,1970,FEMALE,High School,craft-repair,Single Vehicle Collision,Front Collision,Minor Damage,6820,SUV,N
198,68,541124,2007,IL,250/500,500,478,FEMALE,Associate,prof-specialty,Vehicle Theft,Side Collision,Total Loss,9835,SUV,N
395,68,912395,2009,OH,250/500,2000,978,FEMALE,PhD,prof-specialty,Multi-vehicle Collision,Rear Collision,Minor Damage,29631,SUV,N
240,53,726045,2021,IL,250/500,2000,812,MALE,PhD,sales,Vehicle Theft,Side Collision,Total Loss,36617,SUV,Y
144,53,532659,2016,IN,500/1000,2000,945,FEMALE,Associate,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,15587,Sports Car,N
97,43,985691,2013,IL,100/300,2000,568,MALE,Masters,prof-specialty,Parked Car,Rear Collision,Major Damage,36721,SUV,Y
201,60,401207,2005,IL,500/1000,2000,1080,FEMALE,High School,tech-support,Parked Car,Front Collision,Minor Damage,47499,Truck,N
124,44,476369,2022,OH,100/300,2000,982,FEMALE,High School,sales,Parked Car,Front Collision,Major Damage,8840,Truck,Y
187,22,478544,2008,IL,250/500,1000,914,FEMALE,Associate,exec-managerial,Single Vehicle Collision,Rear Collision,Minor Damage,39834,Truck,N
326,37,442962,2014,IL,100/300,2000,1737,MALE,Associate,tech-support,Vehicle Theft,Side Collision,Major Damage,33440,Sports Car,Y
349,28,366847,2011,IL,500/1000,1000,431,FEMALE,Masters,craft-repair,Parked Car,Side Collision,Total Loss,37183,SUV,Y
259,27,820488,2005,IL,500/1000,1000,686,FEMALE,PhD,prof-specialty,Parked Car,Side Collision,Major Damage,32636,Truck,Y
148,57,696387,2021,IN,250/500,2000,993,FEMALE,College,tech-support,Parked Car,Front Collision,Major Damage,4389,Truck,Y
252,55,519065,2006,OH,100/300,2000,1466,MALE,PhD,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,2763,Truck,N
346,23,787220,2015,OH,250/500,1000,1016,FEMALE,High School,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,25925,Truck,N
147,25,131585,2013,IN,250/500,1000,1424,FEMALE,Associate,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,28549,Sedan,N
148,40,515231,2011,IL,500/1000,2000,1996,MALE,Masters,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,41023,SUV,N
352,64,667873,2021,IN,100/300,2000,669,MALE,PhD,sales,Single Vehicle Collision,Rear Collision,Major Damage,41941,SUV,Y
199,43,389102,2021,IL,100/300,1000,1603,FEMALE,Masters,tech-support,Single Vehicle Collision,Front Collision,Total Loss,25457,Sports Car,Y
308,63,388161,2006,IN,100/300,1000,917,FEMALE,PhD,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,23423,Sedan,N
128,60,486821,2010,OH,100/300,1000,1526,FEMALE,High School,craft-repair,Vehicle Theft,Rear Collision,Major Damage,12518,Sports Car,Y
39,29,915858,2018,OH,250/500,500,1433,MALE,College,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,45020,Truck,Y
338,43,379922,2010,OH,250/500,1000,982,MALE,Masters,sales,Parked Car,Side Collision,Major Damage,34360,Sports Car,Y
360,30,800601,2006,IL,500/1000,500,1513,MALE,Masters,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,47215,Truck,Y
129,57,142229,2005,IL,250/500,2000,625,FEMALE,College,craft-repair,Single Vehicle Collision,Front Collision,Minor Damage,49857,Truck,N
267,35,186652,2014,IN,250/500,2000,1069,MALE,Masters,craft-repair,Multi-vehicle Collision,Rear Collision,Major Damage,30173,SUV,Y
151,42,349474,2009,IN,500/1000,1000,1316,FEMALE,Masters,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,11395,SUV,N
298,50,803724,2006,OH,500/1000,2000,525,MALE,PhD,craft-repair,Multi-vehicle Collision,Front Collision,Major Damage,46835,SUV,Y
99,64,360116,2020,IL,500/1000,2000,1355,MALE,PhD,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,21207,SUV,N
263,57,971310,2006,IN,250/500,2000,1632,MALE,College,tech-support,Parked Car,Side Collision,Minor Damage,40055,SUV,N
252,60,943488,2014,IL,250/500,2000,1520,FEMALE,High School,prof-specialty,Single Vehicle Collision,Side Collision,Minor Damage,48229,Sedan,N
144,29,620985,2006,IL,500/1000,500,473,FEMALE,Masters,craft-repair,Multi-vehicle Collision,Side Collision,Minor Damage,28639,SUV,Y
346,61,119975,2020,OH,500/1000,500,1614,FEMALE,High School,prof-specialty,Parked Car,Rear Collision,Minor Damage,48170,Sports Car,N
112,53,257795,2020,OH,500/1000,1000,455,FEMALE,College,prof-specialty,Multi-vehicle Collision,Side Collision,Major Damage,30924,Truck,Y
60,65,516495,2011,IL,250/500,1000,1119,MALE,College,exec-managerial,Parked Car,Rear Collision,Minor Damage,9433,SUV,N
369,21,309373,2016,IL,250/500,1000,952,FEMALE,PhD,craft-repair,Vehicle Theft,Side Collision,Minor Damage,32104,Sedan,N
2,22,297133,2019,IL,100/300,2000,431,MALE,Masters,prof-specialty,Vehicle Theft,Side Collision,Total Loss,46052,Sports Car,Y
385,73,974829,2012,IL,250/500,2000,1950,FEMALE,Associate,craft-repair,Vehicle Theft,Front Collision,Minor Damage,39594,Sports Car,N
304,54,804513,2010,OH,250/500,500,973,FEMALE,College,sales,Multi-vehicle Collision,Rear Collision,Total Loss,5664,Truck,N
254,25,395286,2014,IN,250/500,500,1066,MALE,Masters,sales,Multi-vehicle Collision,Front Collision,Total Loss,12528,Sports Car,N
140,59,913348,2007,OH,500/1000,1000,683,MALE,High School,sales,Parked Car,Side Collision,Total Loss,30190,Sports Car,Y
37,66,688612,2021,IN,250/500,500,1917,FEMALE,PhD,prof-specialty,Parked Car,Rear Collision,Major Damage,2497,Sports Car,N
160,45,276037,2011,IL,500/1000,500,586,FEMALE,High School,sales,Parked Car,Side Collision,Major Damage,9641,Sports Car,Y
9,48,488076,2008,IN,100/300,500,897,MALE,College,exec-managerial,Parked Car,Front Collision,Total Loss,6643,Sedan,Y
233,26,760008,2018,OH,100/300,500,1865,MALE,College,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,7056,Truck,N
99,71,790493,2019,OH,500/1000,500,529,MALE,High School,prof-specialty,Vehicle Theft,Front Collision,Minor Damage,34899,SUV,N
147,68,720347,2012,IL,500/1000,1000,1038,MALE,College,craft-repair,Single Vehicle Collision,Side Collision,Major Damage,7443,Sports Car,N
304,46,722605,2019,OH,500/1000,1000,1715,MALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,19241,Sedan,N
208,31,825495,2018,IL,250/500,500,513,FEMALE,College,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,48211,Truck,N
131,57,397190,2013,OH,100/300,1000,1622,FEMALE,PhD,craft-repair,Single Vehicle Collision,Rear Collision,Major Damage,10712,SUV,N
152,58,540280,2012,OH,500/1000,2000,412,FEMALE,Masters,craft-repair,Vehicle Theft,Front Collision,Major Damage,10221,Truck,N
54,39,201459,2021,IL,250/500,500,1694,FEMALE,Associate,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,33346,Sedan,Y
120,28,861985,2006,IN,100/300,2000,1638,MALE,College,tech-support,Parked Car,Side Collision,Major Damage,17660,Sedan,Y
161,40,300422,2007,OH,250/500,1000,843,MALE,College,sales,Multi-vehicle Collision,Front Collision,Major Damage,40915,Sedan,Y
116,18,932325,2012,IN,100/300,1000,1935,MALE,PhD,craft-repair,Parked Car,Rear Collision,Major Damage,13588,Sports Car,N
75,63,201520,2016,OH,250/500,2000,846,FEMALE,PhD,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,39372,Sedan,N
113,54,685560,2005,OH,100/300,1000,1385,MALE,High School,prof-specialty,Parked Car,Side Collision,Minor Damage,44220,SUV,N
104,38,847512,2014,OH,100/300,500,1392,MALE,High School,prof-specialty,Parked Car,Side Collision,Minor Damage,19942,Sports Car,Y
340,43,616123,2007,OH,250/500,2000,1114,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,38373,Truck,Y
254,63,429793,2010,IN,500/1000,500,473,FEMALE,PhD,craft-repair,Vehicle Theft,Side Collision,Total Loss,48052,SUV,Y
227,53,426818,2011,IN,100/300,2000,936,FEMALE,High School,tech-support,Single Vehicle Collision,Side Collision,Total Loss,3607,Sports Car,N
112,71,244832,2022,OH,500/1000,1000,500,MALE,High School,sales,Parked Car,Side Collision,Minor Damage,46477,Sedan,N
99,40,252999,2015,OH,250/500,2000,575,MALE,Associate,prof-specialty,Vehicle Theft,Side Collision,Major Damage,4016,Truck,N
153,74,448619,2009,IN,500/1000,2000,826,FEMALE,High School,sales,Single Vehicle Collision,Front Collision,Total Loss,5574,Sedan,Y
349,18,161367,2015,IL,500/1000,500,1540,FEMALE,College,tech-support,Vehicle Theft,Side Collision,Total Loss,48309,SUV,Y
384,71,853315,2016,IL,500/1000,1000,1589,MALE,PhD,prof-specialty,Vehicle Theft,Rear Collision,Minor Damage,9274,SUV,N
366,72,505804,2014,IN,500/1000,500,440,FEMALE,Masters,sales,Single Vehicle Collision,Side Collision,Total Loss,44703,Sports Car,Y
338,68,857038,2012,OH,500/1000,1000,828,MALE,Associate,tech-support,Parked Car,Side Collision,Major Damage,17748,SUV,N
194,57,335806,2013,OH,100/300,500,743,FEMALE,PhD,sales,Vehicle Theft,Front Collision,Minor Damage,22175,Truck,N
310,32,807593,2008,IL,100/300,2000,1847,FEMALE,PhD,craft-repair,Parked Car,Side Collision,Minor Damage,41174,Sports Car,N
163,38,144738,2009,IL,100/300,500,765,FEMALE,College,tech-support,Parked Car,Front Collision,Major Damage,13826,Truck,N
208,64,657685,2012,IN,250/500,1000,1543,MALE,High School,sales,Parked Car,Rear Collision,Major Damage,19472,Sedan,N
169,26,444333,2013,IL,500/1000,1000,1008,MALE,College,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,36129,Truck,Y
161,70,438511,2019,IN,100/300,2000,1056,FEMALE,High School,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,6473,Truck,N
68,26,302332,2019,IL,250/500,1000,1127,MALE,High School,tech-support,Parked Car,Rear Collision,Major Damage,25490,SUV,N
289,27,482729,2020,IL,100/300,500,628,FEMALE,PhD,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,42087,Sedan,N
398,69,963051,2018,IL,100/300,2000,1224,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Front Collision,Major Damage,43435,SUV,Y
277,74,211453,2012,OH,500/1000,1000,1553,MALE,Associate,tech-support,Vehicle Theft,Rear Collision,Minor Damage,11481,Sedan,N
304,70,119816,2022,OH,250/500,1000,1775,MALE,Associate,craft-repair,Parked Car,Rear Collision,Minor Damage,10520,Sedan,Y
384,43,869299,2014,OH,500/1000,500,1288,MALE,Associate,craft-repair,Parked Car,Front Collision,Total Loss,28415,Truck,N
392,58,965962,2010,IL,500/1000,500,1741,MALE,PhD,tech-support,Parked Car,Front Collision,Major Damage,19570,SUV,N
135,52,516715,2016,IN,100/300,2000,1383,FEMALE,College,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,21798,Truck,N
195,69,471000,2006,IN,500/1000,1000,1235,MALE,Masters,prof-specialty,Single Vehicle Collision,Rear Collision,Major Damage,5536,Truck,N
128,42,313567,2011,IN,250/500,500,1760,MALE,High School,sales,Multi-vehicle Collision,Front Collision,Major Damage,3773,Truck,N
33,43,614933,2020,IN,500/1000,2000,1696,FEMALE,Masters,tech-support,Parked Car,Side Collision,Major Damage,31894,Sedan,Y
176,28,695923,2007,OH,500/1000,1000,516,FEMALE,College,prof-specialty,Parked Car,Rear Collision,Major Damage,45023,SUV,Y
371,55,994235,2017,OH,500/1000,1000,1217,FEMALE,College,prof-specialty,Parked Car,Front Collision,Major Damage,37326,SUV,Y
375,19,316184,2007,IL,100/300,2000,767,FEMALE,PhD,craft-repair,Multi-vehicle Collision,Side Collision,Minor Damage,7079,Truck,N
22,24,398090,2022,IL,250/500,2000,1517,MALE,Associate,sales,Parked Car,Rear Collision,Minor Damage,27838,Sedan,Y
238,35,417348,2015,IN,100/300,500,567,MALE,Associate,tech-support,Vehicle Theft,Rear Collision,Major Damage,23804,SUV,N
158,44,282958,2012,OH,100/300,1000,1353,FEMALE,College,craft-repair,Parked Car,Front Collision,Minor Damage,49109,Sports Car,Y
38,51,377707,2010,IN,100/300,1000,1764,FEMALE,PhD,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,21675,SUV,N
230,44,192324,2005,IL,100/300,1000,1060,MALE,PhD,exec-managerial,Vehicle Theft,Rear Collision,Total Loss,27594,Truck,N
365,34,323536,2005,IL,100/300,2000,1094,MALE,High School,prof-specialty,Parked Car,Side Collision,Total Loss,44749,Sports Car,Y
51,60,857232,2012,IN,250/500,500,1324,MALE,Associate,tech-support,Vehicle Theft,Side Collision,Major Damage,38292,Sedan,Y
264,61,371991,2009,IL,500/1000,1000,551,MALE,College,tech-support,Parked Car,Rear Collision,Major Damage,10998,Sports Car,N
283,68,126155,2020,IN,100/300,2000,985,MALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,15697,Sports Car,Y
27,71,441815,2015,OH,100/300,1000,1312,FEMALE,Associate,craft-repair,Parked Car,Rear Collision,Minor Damage,48374,Truck,Y
226,41,741179,2009,IN,250/500,500,673,FEMALE,High School,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,15429,SUV,N
277,42,969742,2008,OH,250/500,1000,1977,FEMALE,PhD,sales,Single Vehicle Collision,Rear Collision,Total Loss,9140,Sedan,N
286,24,560494,2010,OH,500/1000,500,895,FEMALE,College,craft-repair,Multi-vehicle Collision,Front Collision,Total Loss,43553,Sports Car,Y
97,69,249381,2018,IL,250/500,500,500,MALE,Associate,sales,Single Vehicle Collision,Rear Collision,Total Loss,16901,Truck,N
284,23,231691,2013,IL,500/1000,1000,956,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,25279,SUV,Y
367,70,576410,2016,IL,100/300,1000,1505,MALE,High School,prof-specialty,Single Vehicle Collision,Rear Collision,Minor Damage,30525,Sports Car,N
317,41,543324,2015,IN,100/300,500,1952,MALE,High School,tech-support,Vehicle Theft,Side Collision,Major Damage,22491,Truck,N
304,50,134707,2018,IN,500/1000,2000,472,MALE,Associate,sales,Single Vehicle Collision,Front Collision,Major Damage,5280,Truck,Y
147,66,618477,2020,IL,250/500,500,1437,MALE,Masters,craft-repair,Parked Car,Side Collision,Total Loss,36980,Truck,Y
4,46,967969,2005,IN,500/1000,1000,1856,MALE,High School,sales,Single Vehicle Collision,Side Collision,Major Damage,49981,Sedan,Y
35,60,821864,2017,IL,250/500,1000,556,MALE,College,prof-specialty,Single Vehicle Collision,Rear Collision,Major Damage,31989,SUV,Y
192,39,802974,2017,IN,100/300,2000,1134,MALE,High School,tech-support,Parked Car,Side Collision,Major Damage,10078,Sports Car,N
49,43,846788,2006,OH,250/500,500,531,FEMALE,Masters,sales,Parked Car,Rear Collision,Total Loss,28118,SUV,N
17,45,453299,2008,OH,500/1000,500,1761,MALE,PhD,prof-specialty,Multi-vehicle Collision,Front Collision,Minor Damage,25985,SUV,N
172,67,886713,2010,IL,500/1000,500,1418,FEMALE,PhD,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,18997,Sports Car,N
220,38,258492,2009,IN,100/300,1000,1827,FEMALE,Associate,exec-managerial,Vehicle Theft,Side Collision,Major Damage,16274,SUV,N
158,66,574112,2007,IN,250/500,500,1799,MALE,Masters,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,2868,Sedan,N
46,24,270102,2005,OH,250/500,2000,958,MALE,High School,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,28398,Sports Car,Y
373,34,494274,2008,OH,250/500,1000,506,FEMALE,High School,craft-repair,Parked Car,Rear Collision,Total Loss,18042,Sports Car,N
6,37,317285,2006,IL,100/300,1000,664,FEMALE,PhD,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,33820,Truck,Y
99,58,438404,2009,OH,250/500,500,1628,FEMALE,PhD,craft-repair,Single Vehicle Collision,Side Collision,Major Damage,23246,SUV,N
380,66,259476,2007,IL,500/1000,2000,1502,FEMALE,College,craft-repair,Vehicle Theft,Front Collision,Major Damage,22561,Sports Car,N
233,37,858842,2013,OH,250/500,1000,554,MALE,PhD,tech-support,Single Vehicle Collision,Front Collision,Major Damage,18254,Sports Car,N
37,71,260928,2010,OH,100/300,1000,1387,MALE,College,prof-specialty,Vehicle Theft,Front Collision,Total Loss,36512,Sedan,Y
280,39,764560,2022,IN,250/500,500,1396,MALE,High School,sales,Parked Car,Front Collision,Minor Damage,37024,Truck,N
349,45,950610,2010,OH,250/500,500,646,FEMALE,College,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,25996,Sports Car,N
302,57,396141,2016,OH,500/1000,2000,930,MALE,College,sales,Single Vehicle Collision,Rear Collision,Total Loss,30618,Sedan,Y
181,66,743561,2015,IL,250/500,500,1257,FEMALE,Associate,sales,Multi-vehicle Collision,Front Collision,Minor Damage,13859,Sports Car,N
95,24,796595,2006,OH,500/1000,2000,937,MALE,PhD,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,25580,Sports Car,Y
99,18,348500,2019,IL,500/1000,1000,1128,FEMALE,College,tech-support,Vehicle Theft,Side Collision,Major Damage,7423,Sports Car,N
188,49,790417,2016,OH,100/300,2000,1577,MALE,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,39857,Sedan,N
116,30,232311,2016,OH,500/1000,2000,553,MALE,Masters,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,8608,SUV,Y
191,47,859034,2013,IL,500/1000,2000,491,FEMALE,College,sales,Parked Car,Front Collision,Minor Damage,44485,Sports Car,N
253,40,345546,2006,IN,100/300,1000,1856,FEMALE,PhD,tech-support,Vehicle Theft,Front Collision,Minor Damage,6876,Sports Car,N
161,68,296733,2007,IL,500/1000,500,737,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Side Collision,Major Damage,23038,SUV,N
256,73,751233,2016,IL,100/300,1000,1903,FEMALE,High School,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,30006,Sports Car,Y
323,36,669560,2020,IL,250/500,500,1554,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Side Collision,Minor Damage,37775,Truck,Y
128,49,975825,2005,IN,100/300,2000,849,MALE,Masters,sales,Single Vehicle Collision,Front Collision,Minor Damage,32810,Sports Car,N
18,47,947644,2007,OH,500/1000,2000,1209,FEMALE,College,exec-managerial,Vehicle Theft,Side Collision,Major Damage,16325,Truck,N
281,46,246470,2006,IL,100/300,2000,1186,MALE,College,sales,Parked Car,Front Collision,Major Damage,37892,SUV,Y
223,66,744318,2013,IL,500/1000,2000,672,MALE,PhD,prof-specialty,Vehicle Theft,Rear Collision,Minor Damage,3753,Sedan,N
54,62,418647,2019,IN,250/500,2000,987,MALE,College,sales,Multi-vehicle Collision,Front Collision,Total Loss,31531,SUV,Y
58,46,106570,2022,IL,100/300,500,576,MALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Major Damage,19996,Sports Car,N
323,47,430929,2015,OH,250/500,500,1230,MALE,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,5275,Truck,N
360,33,633398,2020,IN,500/1000,2000,1042,FEMALE,Associate,sales,Vehicle Theft,Front Collision,Major Damage,10747,Sedan,N
174,57,599115,2021,OH,500/1000,1000,1472,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Minor Damage,47211,Sports Car,N
280,36,179141,2009,OH,250/500,1000,966,MALE,College,exec-managerial,Vehicle Theft,Rear Collision,Minor Damage,2824,Sedan,N
114,35,112115,2016,IN,100/300,2000,1065,MALE,Associate,sales,Multi-vehicle Collision,Rear Collision,Major Damage,15880,Sedan,N
288,18,139062,2015,IL,100/300,500,1778,FEMALE,PhD,prof-specialty,Single Vehicle Collision,Front Collision,Minor Damage,45809,Sports Car,N
342,31,909343,2019,OH,500/1000,1000,1731,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,3081,SUV,Y
151,68,728349,2007,OH,250/500,1000,1267,MALE,Associate,exec-managerial,Vehicle Theft,Front Collision,Major Damage,13517,Sports Car,N
127,64,394700,2005,OH,250/500,1000,1469,FEMALE,Associate,exec-managerial,Parked Car,Side Collision,Minor Damage,23683,Sports Car,N
